Timestamp	Longitude	Latitude	Operatorname	NetworkTech	Level	Speed	Altitude	Filemark
2025.10.15_14.20.32	-43.35551	-21.79396	VIVO	4G	-86	2	816	
2025.10.15_14.20.41	NaN	NaN	VIVO	4G	-88
2025.10.15_14.20.46	-43.35561	-21.79397	VIVO	4G	-91	3	816	
2025.10.15_14.20.51	-43.35561	-21.79397	VIVO	4G	-79	3	816	
2025.10.15_14.20.56	-43.35571	-21.79398	VIVO	4G	-80	3	816	
2025.10.15_14.21.05	-43.35579	-21.79402	VIVO	4G	-84	3	815	
2025.10.15_14.21.14	-43.35589	-21.79404	VIVO	4G	-79	3	816	
2025.10.15_14.21.24	-43.35599	-21.79406	VIVO	4G	-80	3	816	
2025.10.15_14.21.32	-43.35610	-21.79408	VIVO	4G	-73	4	816	
2025.10.15_14.21.41	-43.35620	-21.79407	VIVO	4G	-73	4	818	
2025.10.15_14.21.48	-43.35630	-21.79406	VIVO	4G	-74	4	818	
2025.10.15_14.21.55	-43.35640	-21.79407	VIVO	4G	-76	4	817	
2025.10.15_14.22.02	-43.35651	-21.79406	VIVO	4G	-77	5	815	
2025.10.15_14.22.10	-43.35662	-21.79406	VIVO	4G	-71	5	814	
2025.10.15_14.22.16	-43.35671	-21.79403	VIVO	4G	-73	5	813	
2025.10.15_14.22.23	-43.35682	-21.79404	VIVO	4G	-78	5	813	
2025.10.15_14.22.30	-43.35692	-21.79403	VIVO	4G	-76	5	816	
2025.10.15_14.22.37	-43.35702	-21.79403	VIVO	4G	-73	5	817	
2025.10.15_14.22.45	-43.35712	-21.79406	VIVO	4G	-65	5	815	
2025.10.15_14.22.53	-43.35722	-21.79408	VIVO	4G	-65	4	813	
